Refinment	Simulated Er 	Theorical Er 	Relative Error	Simulated Et 	Theorical Et	Relative Error
1	0.0028357	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0029161	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0032403	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.002866	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0029344	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0028342	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0028726	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0045951	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.0043658	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
1	0.003164	0.193058	0.225148	14.253	0.735231	0.774852	5.11335
2	0.0118028	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.011843	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.01129	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0118144	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0120164	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0115608	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0112392	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0118222	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0118136	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
2	0.0112546	0.215623	0.225148	4.23086	0.776349	0.774852	0.193226
3	0.0256135	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.026165	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0256936	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0263553	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0271406	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0256132	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0259995	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0255807	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0259806	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
3	0.0260241	0.220684	0.225148	1.98265	0.774927	0.774852	0.0096588
4	0.0455632	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0456897	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0460372	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0456258	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0453735	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0454494	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0460617	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0454954	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0488158	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
4	0.0456695	0.222693	0.225148	1.0903	0.775591	0.774852	0.0954267
5	0.0709901	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0706374	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0743113	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0708859	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0712479	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0711207	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0747271	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0715012	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.071356	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
5	0.0712295	0.223486	0.225148	0.7385	0.774879	0.774852	0.00350201
6	0.103897	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.105679	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.103604	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.104102	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.103123	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.103198	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.103767	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.103578	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.10304	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
6	0.103015	0.224001	0.225148	0.509607	0.775249	0.774852	0.0512239
7	0.141493	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.139816	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.139779	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.140889	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.141488	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.145002	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.140942	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.142318	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.142503	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
7	0.138987	0.224332	0.225148	0.362497	0.774932	0.774852	0.0102912
8	0.184505	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.182174	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.192709	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.182705	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.18369	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.182457	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.188074	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.193713	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.183205	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
8	0.18626	0.224481	0.225148	0.296388	0.775093	0.774852	0.0311352
9	0.234332	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.231031	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.230637	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.231266	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.232888	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.232125	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.236476	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.232224	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.23038	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
9	0.230808	0.224636	0.225148	0.227585	0.775096	0.774852	0.0314921
