Refinement	Time
1	1.1e-06
1	0.58632
1	0.582231
1	0.586623
1	0.584731
1	0.584225
1	0.583044
1	0.587877
1	0.589302
1	0.59769
2	0.70304
2	0.721769
2	0.703388
2	0.709477
2	0.706145
2	0.705319
2	0.705705
2	0.705259
2	0.699593
2	0.705219
3	0.864869
3	0.840476
3	0.84602
3	0.845135
3	0.858877
3	0.838832
3	0.847493
3	0.840477
3	0.844025
3	0.857104
4	0.982866
4	0.988875
4	0.98746
4	0.990244
4	0.98581
4	0.989602
4	0.985537
4	0.990183
4	0.984456
4	1.00271
5	1.14501
5	1.18569
5	1.14739
5	1.1648
5	1.14692
5	1.14621
5	1.15454
5	1.1475
5	1.15634
5	1.14136
6	1.30337
6	1.3189
6	1.31652
6	1.33287
6	1.31152
6	1.31134
6	1.31645
6	1.31671
6	1.30571
6	1.31378
7	1.48876
7	1.48856
7	1.49777
7	1.512
7	1.49913
7	1.50505
7	1.50485
7	1.51059
7	1.50148
7	1.49281
8	1.69906
8	1.6826
8	1.69157
8	1.68027
8	1.68207
8	1.69357
8	1.71034
8	1.68617
8	1.68304
8	1.67212
9	1.88922
9	1.9205
9	1.89993
9	1.9122
9	1.88247
9	1.93276
9	1.90196
9	1.93622
9	1.91359
9	1.90633
