
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 99  0  1.49653e-06 o
 99  1 -1.10103e-05 o
 99  2 -2.7632e-05 o
 99  3 -1.76426e-05 o
 99  4  1.66941e-05 o
 99  5  2.33366e-05 o
 99  6  1.78881e-05 o
 99  7  3.98821e-07 o
 99  8  1.28805e-05 o
 99  9  2.22673e-05 o
 99  10  1.44894e-05 o
 99  11  4.60224e-06 o
 99  12 -2.12798e-05 o
 99  13 -1.72048e-05 o
 99  14 -2.57797e-05 o
 99  15 -9.01637e-06 o
 99  16  5.80815e-06 o
 99  17  1.08711e-06 o
 99  18  7.10922e-07 o
 99  19 -1.61361e-05 o
 99  20  6.77893e-06 o
 99  21  2.40578e-05 o
 99  22  1.39705e-05 o
 99  23  7.15383e-06 o
 99  24 -3.39097e-05 o
 99  25 -2.16274e-05 o
 99  26 -3.55989e-05 o
 99  27 -3.80474e-05 o
 99  28 -2.71411e-05 o
 99  29 -5.67029e-05 o
 99  30 -4.00793e-05 o
 99  31 -6.72936e-05 o
 99  32  4.17484e-05 o
 99  33  0.000305251 o
 99  34  0.000829445 o
 99  35  0.00173288 o
 99  36  0.00297583 o
 99  37  0.00475972 o
 99  38  0.0069146 o
 99  39  0.00952449 o
 99  40  0.0123592 o
 99  41  0.015347 o
 99  42  0.0180168 o
 99  43  0.0199769 o
 99  44  0.0207928 o
 99  45  0.0202327 o
 99  46  0.0183736 o
 99  47  0.0156764 o
 99  48  0.0128509 o
 99  49  0.0107227 o
 99  50  0.00993154 o
 99  51  0.0107227 o
 99  52  0.0128509 o
 99  53  0.0156764 o
 99  54  0.0183736 o
 99  55  0.0202327 o
 99  56  0.0207928 o
 99  57  0.0199769 o
 99  58  0.0180168 o
 99  59  0.015347 o
 99  60  0.0123592 o
 99  61  0.00952449 o
 99  62  0.0069146 o
 99  63  0.00475972 o
 99  64  0.00297583 o
 99  65  0.00173288 o
 99  66  0.000829445 o
 99  67  0.000305251 o
 99  68  4.17484e-05 o
 99  69 -6.72936e-05 o
 99  70 -4.00793e-05 o
 99  71 -5.67029e-05 o
 99  72 -2.71411e-05 o
 99  73 -3.80474e-05 o
 99  74 -3.55989e-05 o
 99  75 -2.16274e-05 o
 99  76 -3.39097e-05 o
 99  77  7.15383e-06 o
 99  78  1.39705e-05 o
 99  79  2.40578e-05 o
 99  80  6.77893e-06 o
 99  81 -1.61361e-05 o
 99  82  7.10922e-07 o
 99  83  1.08711e-06 o
 99  84  5.80815e-06 o
 99  85 -9.01637e-06 o
 99  86 -2.57797e-05 o
 99  87 -1.72048e-05 o
 99  88 -2.12798e-05 o
 99  89  4.60224e-06 o
 99  90  1.44894e-05 o
 99  91  2.22673e-05 o
 99  92  1.28805e-05 o
 99  93  3.98821e-07 o
 99  94  1.78881e-05 o
 99  95  2.33366e-05 o
 99  96  1.66941e-05 o
 99  97 -1.76426e-05 o
 99  98 -2.7632e-05 o
 99  99 -1.10103e-05 o

# IsoCurve 1, 100 points
# x y z type
 98  0 -2.24205e-05 o
 98  1 -2.60915e-05 o
 98  2 -2.82071e-05 o
 98  3 -1.18082e-05 o
 98  4  4.37754e-06 o
 98  5  3.45221e-05 o
 98  6  2.51331e-05 o
 98  7  2.95225e-05 o
 98  8  1.88819e-05 o
 98  9  2.54833e-05 o
 98  10  2.98153e-05 o
 98  11 -2.11389e-06 o
 98  12 -1.43762e-05 o
 98  13 -4.92067e-05 o
 98  14 -2.38857e-05 o
 98  15 -9.7188e-06 o
 98  16 -3.1686e-07 o
 98  17  3.92335e-06 o
 98  18 -2.23772e-05 o
 98  19 -5.92848e-06 o
 98  20 -6.52371e-06 o
 98  21  9.32371e-06 o
 98  22  3.60878e-05 o
 98  23  1.68434e-05 o
 98  24  3.77476e-05 o
 98  25 -1.47883e-05 o
 98  26 -7.19374e-06 o
 98  27 -1.64122e-05 o
 98  28  3.20222e-05 o
 98  29  0.00017584 o
 98  30  0.000434377 o
 98  31  0.000917206 o
 98  32  0.00162455 o
 98  33  0.00264667 o
 98  34  0.00408949 o
 98  35  0.00600972 o
 98  36  0.00851302 o
 98  37  0.0115383 o
 98  38  0.0148949 o
 98  39  0.0183213 o
 98  40  0.0213321 o
 98  41  0.0237158 o
 98  42  0.0251233 o
 98  43  0.0257413 o
 98  44  0.0257675 o
 98  45  0.0255999 o
 98  46  0.025525 o
 98  47  0.0256927 o
 98  48  0.0260427 o
 98  49  0.0264082 o
 98  50  0.0265397 o
 98  51  0.0264082 o
 98  52  0.0260427 o
 98  53  0.0256927 o
 98  54  0.025525 o
 98  55  0.0255999 o
 98  56  0.0257675 o
 98  57  0.0257413 o
 98  58  0.0251233 o
 98  59  0.0237158 o
 98  60  0.0213321 o
 98  61  0.0183213 o
 98  62  0.0148949 o
 98  63  0.0115383 o
 98  64  0.00851302 o
 98  65  0.00600972 o
 98  66  0.00408949 o
 98  67  0.00264667 o
 98  68  0.00162455 o
 98  69  0.000917206 o
 98  70  0.000434377 o
 98  71  0.00017584 o
 98  72  3.20222e-05 o
 98  73 -1.64122e-05 o
 98  74 -7.19374e-06 o
 98  75 -1.47883e-05 o
 98  76  3.77476e-05 o
 98  77  1.68434e-05 o
 98  78  3.60878e-05 o
 98  79  9.32371e-06 o
 98  80 -6.52371e-06 o
 98  81 -5.92848e-06 o
 98  82 -2.23772e-05 o
 98  83  3.92335e-06 o
