
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 99  0 -3.94931e-12 o
 99  1 -1.64368e-11 o
 99  2 -1.12086e-10 o
 99  3 -6.52374e-10 o
 99  4 -3.21104e-09 o
 99  5 -1.3369e-08 o
 99  6 -4.69931e-08 o
 99  7 -1.38632e-07 o
 99  8 -3.39009e-07 o
 99  9 -6.70545e-07 o
 99  10 -1.0132e-06 o
 99  11 -9.70859e-07 o
 99  12  7.40217e-08 o
 99  13  2.49363e-06 o
 99  14  5.68954e-06 o
 99  15  7.22955e-06 o
 99  16  4.89725e-06 o
 99  17 -3.67384e-06 o
 99  18 -1.46201e-05 o
 99  19 -1.89491e-05 o
 99  20 -1.32033e-05 o
 99  21  1.28243e-05 o
 99  22  3.3535e-05 o
 99  23  4.10615e-05 o
 99  24  2.82386e-05 o
 99  25 -1.13681e-05 o
 99  26 -3.38614e-05 o
 99  27 -2.2779e-05 o
 99  28  6.10625e-05 o
 99  29  0.000166877 o
 99  30  0.0002228 o
 99  31  0.000266121 o
 99  32  0.000331018 o
 99  33  0.000428802 o
 99  34  0.000587316 o
 99  35  0.000783585 o
 99  36  0.00101698 o
 99  37  0.00136653 o
 99  38  0.00167673 o
 99  39  0.00179203 o
 99  40  0.00205697 o
 99  41  0.00259058 o
 99  42  0.00288812 o
 99  43  0.00293361 o
 99  44  0.00334551 o
 99  45  0.00404196 o
 99  46  0.00401869 o
 99  47  0.00376644 o
 99  48  0.00426137 o
 99  49  0.00423168 o
 99  50  0.00384866 o
 99  51  0.00423168 o
 99  52  0.00426137 o
 99  53  0.00376644 o
 99  54  0.00401869 o
 99  55  0.00404196 o
 99  56  0.00334551 o
 99  57  0.00293361 o
 99  58  0.00288812 o
 99  59  0.00259058 o
 99  60  0.00205697 o
 99  61  0.00179203 o
 99  62  0.00167673 o
 99  63  0.00136653 o
 99  64  0.00101698 o
 99  65  0.000783585 o
 99  66  0.000587316 o
 99  67  0.000428802 o
 99  68  0.000331018 o
 99  69  0.000266121 o
 99  70  0.0002228 o
 99  71  0.000166877 o
 99  72  6.10625e-05 o
 99  73 -2.2779e-05 o
 99  74 -3.38614e-05 o
 99  75 -1.13681e-05 o
 99  76  2.82386e-05 o
 99  77  4.10615e-05 o
 99  78  3.3535e-05 o
 99  79  1.28243e-05 o
 99  80 -1.32033e-05 o
 99  81 -1.89491e-05 o
 99  82 -1.46201e-05 o
 99  83 -3.67384e-06 o
 99  84  4.89725e-06 o
 99  85  7.22955e-06 o
 99  86  5.68954e-06 o
 99  87  2.49363e-06 o
 99  88  7.40217e-08 o
 99  89 -9.70859e-07 o
 99  90 -1.0132e-06 o
 99  91 -6.70545e-07 o
 99  92 -3.39009e-07 o
